"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"787076323227398145","","","2016-10-14 23:43:13 +0000","<a href=""http://giphy.com"" rel=""nofollow"">Giphy Share</a>","https://t.co/2c3URiqUjf https://t.co/yiy8sbzXP4","","","","http://gph.is/2dCW2ZS,https://twitter.com/ajamielittle/status/787076323227398145/photo/1"
"787072920283512832","","","2016-10-14 23:29:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @exxulansis: https://t.co/WplR8YusCz","786975446030102529","3456073160","2016-10-14 17:02:22 +0000","https://twitter.com/exxulansis/status/786975446030102529/photo/1,https://twitter.com/exxulansis/status/786975446030102529/photo/1"
"787071575312838656","","","2016-10-14 23:24:21 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","AmigaOS Manual: AmigaDOS Command Reference - AmigaOS Documentation Wiki https://t.co/QMbVEJDvkw","","","","http://wiki.amigaos.net/wiki/AmigaOS_Manual:_AmigaDOS_Command_Reference"
"786925437075148804","","","2016-10-14 13:43:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","U.S. lifts limits on import of Cuban products including rum and cigars https://t.co/sA0GfM342Q","","","","http://www.miamiherald.com/news/nation-world/world/americas/cuba/article108195527.html"
"786919535278297088","","","2016-10-14 13:20:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @LisaBarone: .@methode: Google creating a sep mobile index, which will be it’s primary index. Desktop will be a secondary index,less up…","786607865981046785","9524712","2016-10-13 16:41:44 +0000",""
"786900603662393344","","","2016-10-14 12:04:58 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Inside A Nintendo Storage Room, Where They Keep Their Old Stuff https://t.co/M7guMJOgNU","","","","http://kotaku.com/inside-nintendos-storage-room-where-they-keep-all-thei-1787731584"
"786245498789257216","","","2016-10-12 16:41:49 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Inside the nuclear bunker holding America’s film history – Boing Boing https://t.co/BohamYCyLR","","","","http://boingboing.net/2016/10/12/inside-the-nuclear-bunker-hold.html/amp"
"786244830393344000","","","2016-10-12 16:39:09 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Exploring CLI Best Practices // Localytics Engineering Blog https://t.co/Tf5qu69fo6","","","","http://eng.localytics.com/exploring-cli-best-practices/"
"785945487652360192","","","2016-10-11 20:49:41 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","I love this packaging illustration https://t.co/3KnfIX2YXo","","","","http://arstechnica.com/gadgets/2016/10/heres-how-to-return-your-note-7-without-blowing-up-the-mail-service/"
"785558490207100929","","","2016-10-10 19:11:53 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","The self-destructing game of 1986 - Polygon https://t.co/7q1Uy0vfTi","","","","http://www.polygon.com/features/2016/10/10/13192240/sub-mission-self-destructing-game-1986"
